# Logfile created on 2019-02-22 10:30:10 +0000 by logger.rb/61378
[2019-02-22T10:30:11+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2019-02-22T10:30:11+00:00] INFO: *** Chef 13.6.4 ***
[2019-02-22T10:30:11+00:00] INFO: Platform: x86_64-linux
[2019-02-22T10:30:11+00:00] INFO: Chef-client pid: 23
[2019-02-22T10:30:11+00:00] INFO: The plugin path /etc/chef/ohai/plugins does not exist. Skipping...
[2019-02-22T10:30:13+00:00] WARN: Plugin Network: unable to detect ipaddress
[2019-02-22T10:30:13+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2019-02-22T10:30:13+00:00] INFO: Run List is [recipe[gitlab]]
[2019-02-22T10:30:13+00:00] INFO: Run List expands to [gitlab]
[2019-02-22T10:30:13+00:00] INFO: Starting Chef Run for 8b4d127197f7
[2019-02-22T10:30:13+00:00] INFO: Running start handlers
[2019-02-22T10:30:13+00:00] INFO: Start handlers complete.
[2019-02-22T10:30:16+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, redis@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.0.0, gitaly@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@0.14.2, acme@3.1.0, crond@0.1.0, compat_resource@12.19.0]
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/deprecate-skip-auto-migrations.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-prometheus.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/alertmanager_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/alertmanager.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_user.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/letsencrypt_renew.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/resources/puma_config.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-monitor.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgres-queries.yaml in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/prometheus/rules/node.rules.v2 in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/puma.rb.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/prometheus/rules/gitlab.rules.v1 in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql-init.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/prometheus/rules/gitlab.rules.v2 in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-alertmanager-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/prometheus/rules/node.rules.v1 in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-alertmanager-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/rack_attack.rb.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-alertmanager-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-control-t.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-control-h.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-control-t.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-run.erb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
